Chaumousey;;N48°11'26";E006°17'12"
Chauvigny Gld;LFDW;N46°35'00";E000°38'33"
Chavenay Vi;LFPX;N48°50'32";E001°58'49"
Chelles Li Pin;LFPH;N48°53'52";E002°36'25"
Chenay;;N46°20'48";W000°00'54"
Cherbourg Gld;LFRC;N49°39'03";W001°28'31"
Cholet Le Po Gld;LFOU;N47°04'55";W000°52'38"
Clamecy;LFJC;N47°26'30";E003°29'54"
Clermont Ferrand;LFLC;N45°47'09";E003°09'45"
Coetquidan;LFXQ;N47°56'38";W002°10'55"
Cognac Gld;LFBG;N45°39'30";W000°19'03"
Colmar Houss Gld;LFGA;N48°06'37";E007°21'33"
Colmar Meyenheim;LFSC;N47°55'19";E007°23'59"
Compiegne Gld;LFAD;N49°26'04";E002°48'22"
Condat S Vezere;;N45°06'24";E001°12'54"
Conde Sur Noirea;LFAN;N48°53'30";W000°30'09"
Condom Valence;LFID;N43°54'37";E000°23'11"
Corlier;LFJD;N46°02'23";E005°29'47"
Corte;LFKT;N42°17'27";E009°11'37"
Cosne Sur Loire;LFGH;N47°21'38";E002°55'08"
Couhe Verac;LFDV;N46°16'22";E000°11'23"
Coulommiers;LFPK;N48°50'15";E003°00'52"
Couloussac Aero;;N44°21'54";E001°05'15"
Courchevel;LFLJ;N45°23'48";E006°37'59"
Courtisols Ul;;N48°59'37";E004°29'48"
Creil;LFPC;N49°15'13";E002°31'09"
Cuers Pierrefeu;LFTF;N43°14'51";E006°07'38"
Damblain Gld;LFYD;N48°05'10";E005°39'50"
Dax Seyresse Gld;LFBY;N43°41'21";W001°04'08"
Deauville;LFRG;N49°21'48";E000°09'36"
Delahaye V Frene;;N50°23'29";E002°02'01"
Dieppe St Aubin;LFAB;N49°52'57";E001°05'07"
Dieze Gueblange;LFQZ;N48°46'31";E006°42'53"
Dijon Darois Gld;LFGI;N47°23'13";E004°56'51"
Dijon Longvic;LFSD;N47°15'57";E005°05'42"
Dinan Trelivan;LFEB;N48°26'40";W002°06'08"
Dinard Pleurtuit;LFRD;N48°35'16";W002°04'48"
Dole Tavaux;LFGJ;N47°02'34";E005°26'06"
Doncourt;LFGR;N49°09'10";E005°55'56"
Dreux Vernouill;LFON;N48°42'23";E001°21'43"
Duffort;;N43°21'08";E000°24'50"
Dunes Aerodrome;;N44°06'21";E000°46'39"
Dunkerque Ghyvel;LFAK;N51°02'26";E002°32'58"
Durance;;N44°09'59";E000°09'43"
