Further Drachenho;;N49°17'46'';E012°52'15''
Füssen;;N47°35'03'';E010°41'08''
Gammelsdorf;;N48°34'28'';E011°56'06''
Ganderkesee;EDWQ;N53°02'10'';E008°30'18''
Garbenheimer Wies;;N50°34'16'';E008°31'37''
Gardelegen;EDOC;N52°31'40'';E011°21'15''
Gedern;;N50°25'56'';E009°11'39''
Geilenkirchen;ETNG;N50°57'36'';E006°02'35''
Geitau;;N47°40'57'';E011°57'45''
Gelnhausen;EDFG;N50°11'50'';E009°10'12''
Gera Leumnitz;EDAJ;N50°52'51'';E012°08'14''
Geratshof;;N47°59'34'';E010°50'39''
Gerstetten;EDPT;N48°37'16'';E010°03'40''
Giebelstadt;ETEU;N49°38'54'';E009°58'00''
Giengen Brenz;EDNG;N48°38'06'';E010°12'55''
Giessen Lützell;EDFL;N50°32'38'';E008°35'24''
Giessen Reiskirch;EDGR;N50°34'00'';E008°52'11''
Giessen Wieseck;;N50°36'17'';E008°44'01''
Göpfersdorf;;N50°55'08'';E012°36'37''
Göppingen Mil;;N48°42'34'';E009°41'29''
Görlitz;EDBX;N51°09'35'';E014°57'03''
Goslar Bollrich;;N51°54'22'';E010°27'44''
Gotha Ost;EDEG;N50°58'21'';E010°43'36''
Grabenstetten;EDSG;N48°32'10'';E009°26'11''
Grafenwöhr;ETIC;N49°41'54'';E011°56'30''
Grambeker Heide;;N53°34'56'';E010°40'56''
Gransee;;N53°00'20'';E013°12'13''
Greding;;N49°03'45'';E011°17'29''
Greding Mil;;N49°02'56'';E011°20'56''
Grefrath Niershor;EDLF;N51°20'02'';E006°21'33''
Greiling;;N47°45'56'';E011°35'54''
Greiz Obergroch;EDOT;N50°38'41'';E012°10'20''
Grevenbroich Gust;;N51°04'38'';E006°32'49''
Griesau;EDPG;N48°57'13'';E012°25'17''
Grifte Edermünde;;N51°13'15'';E009°26'48''
Grossaspach Rems;;N48°58'16'';E009°24'56''
Grosse Höhe;;N52°59'11'';E008°34'20''
Grosse Wiese Geb;;N52°08'23'';E010°34'04''
Grossenhain;EDAK;N51°18'25'';E013°33'20''
Grossrückerswald;EDAG;N50°38'38'';E013°07'35''
Grube;EDHB;N54°14'43'';E011°01'29''
Gruibingen Nortel;;N48°37'17'';E009°39'21''
Grünstadt Quirnh;;N49°35'04'';E008°07'47''
Gundelfingen;EDMU;N48°34'09'';E010°21'43''
Günterode;;N51°24'30'';E010°08'47''
Günzburg Donauried;EDMG;N48°29'14'';E010°17'01''
Gunzenhausen Reutberg;EDMH;N49°06'43'';E010°46'55''
Güstrow;EDCU;N53°48'24'';E012°13'54''
Gütersloh;ETUO;N51°55'24'';E008°18'24''
Güttin Rügen;EDCG;N54°23'02'';E013°19'32''
Hagen Hof;;N51°18'24'';E007°25'18''
Hahn;EDFH;N49°56'54'';E007°15'51''
Hahnweide Kirchheim;;N48°37'52'';E009°25'51''
Haiterbach Nagold;;N48°31'54'';E008°40'36''
Halle Oppin;EDAQ;N51°33'07'';E012°03'10''
